Time_s,Counts,Trial,Corrected_Counts,Smoothed_Counts,Residual,Count_Change,Absolute_Change,Anomaly
0,925,decay_lab_A,915,925.0,0.0,,,False
5,746,decay_lab_A,736,835.5,-89.5,-179.0,179.0,True
10,610,decay_lab_A,600,760.3333333333334,-150.33333333333337,-136.0,136.0,True
15,524,decay_lab_A,514,626.6666666666666,-102.66666666666663,-86.0,86.0,True
20,418,decay_lab_A,408,517.3333333333334,-99.33333333333337,-106.0,106.0,True
25,343,decay_lab_A,333,428.3333333333333,-85.33333333333331,-75.0,75.0,True
30,281,decay_lab_A,271,347.3333333333333,-66.33333333333331,-62.0,62.0,True
35,228,decay_lab_A,218,284.0,-56.0,-53.0,53.0,True
40,205,decay_lab_A,195,238.0,-33.0,-23.0,23.0,False
45,150,decay_lab_A,140,194.33333333333334,-44.33333333333334,-55.0,55.0,True
50,140,decay_lab_A,130,165.0,-25.0,-10.0,10.0,False
55,118,decay_lab_A,108,136.0,-18.0,-22.0,22.0,False
60,104,decay_lab_A,94,120.66666666666667,-16.66666666666667,-14.0,14.0,False
65,77,decay_lab_A,67,99.66666666666667,-22.66666666666667,-27.0,27.0,False
70,49,decay_lab_A,39,76.66666666666667,-27.66666666666667,-28.0,28.0,False
75,54,decay_lab_A,44,60.0,-6.0,5.0,5.0,False
80,40,decay_lab_A,30,47.666666666666664,-7.666666666666664,-14.0,14.0,False
85,20,decay_lab_A,10,38.0,-18.0,-20.0,20.0,False
90,13,decay_lab_A,3,24.333333333333332,-11.333333333333332,-7.0,7.0,False
95,10,decay_lab_A,0,14.333333333333334,-4.333333333333334,-3.0,3.0,False
100,10,decay_lab_A,0,11.0,-1.0,0.0,0.0,False
105,8,decay_lab_A,0,9.333333333333334,-1.333333333333334,-2.0,2.0,False
110,14,decay_lab_A,4,10.666666666666666,3.333333333333334,6.0,6.0,False
115,14,decay_lab_A,4,12.0,2.0,0.0,0.0,False
120,0,decay_lab_A,0,9.333333333333334,-9.333333333333334,-14.0,14.0,False
0,1162,decay_lab_B,1152,1162.0,0.0,,,False
5,1000,decay_lab_B,990,1081.0,-81.0,-162.0,162.0,True
10,886,decay_lab_B,876,1016.0,-130.0,-114.0,114.0,True
15,770,decay_lab_B,760,885.3333333333334,-115.33333333333337,-116.0,116.0,True
20,673,decay_lab_B,663,776.3333333333334,-103.33333333333337,-97.0,97.0,True
25,582,decay_lab_B,572,675.0,-93.0,-91.0,91.0,True
30,502,decay_lab_B,492,585.6666666666666,-83.66666666666663,-80.0,80.0,True
35,431,decay_lab_B,421,505.0,-74.0,-71.0,71.0,True
40,381,decay_lab_B,371,438.0,-57.0,-50.0,50.0,True
45,336,decay_lab_B,326,382.6666666666667,-46.666666666666686,-45.0,45.0,False
50,283,decay_lab_B,273,333.3333333333333,-50.333333333333314,-53.0,53.0,True
55,262,decay_lab_B,252,293.6666666666667,-31.666666666666686,-21.0,21.0,False
60,231,decay_lab_B,221,258.6666666666667,-27.666666666666686,-31.0,31.0,False
65,176,decay_lab_B,166,223.0,-47.0,-55.0,55.0,True
70,175,decay_lab_B,165,194.0,-19.0,-1.0,1.0,False
75,155,decay_lab_B,145,168.66666666666666,-13.666666666666657,-20.0,20.0,False
80,116,decay_lab_B,106,148.66666666666666,-32.66666666666666,-39.0,39.0,False
85,116,decay_lab_B,106,129.0,-13.0,0.0,0.0,False
90,93,decay_lab_B,83,108.33333333333333,-15.333333333333329,-23.0,23.0,False
95,78,decay_lab_B,68,95.66666666666667,-17.66666666666667,-15.0,15.0,False
